Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,# of Deaths/Readmissions,# of Cases,Hospital Ratings,Location 1
2011-2012,San Bernardino,Community Hospital of San Bernardino,106361323,30-day Readmission,12.11,8,65,As Expected,"(34.13138, -117.32245)"
2011-2012,San Bernardino,Community Hospital of San Bernardino,106361323,30-day Mortality,15.43,7,68,As Expected,"(34.13138, -117.32245)"
2011-2012,San Bernardino,Saint Bernadine Medical Center,106361339,30-day Readmission,9.93,28,280,As Expected,"(34.1341, -117.27865)"
2011-2012,San Bernardino,Saint Bernadine Medical Center,106361339,30-day Mortality,12.54,27,293,As Expected,"(34.1341, -117.27865)"
2011-2012,San Bernardino,Saint Mary Regional Medical Center,106361343,30-day Readmission,12.92,51,408,As Expected,"(34.54053, -117.26535)"
2011-2012,San Bernardino,Saint Mary Regional Medical Center,106361343,30-day Mortality,8.48,23,416,As Expected,"(34.54053, -117.26535)"
2011-2012,San Bernardino,Victor Valley Community Hospital,106361370,30-day Readmission,11.09,9,85,As Expected,"(34.5281768, -117.2925622)"
2011-2012,San Bernardino,Victor Valley Community Hospital,106361370,30-day Mortality,3.95,2,87,As Expected,"(34.5281768, -117.2925622)"
2011-2012,San Bernardino,Hi-Desert Medical Center,106362041,30-day Readmission,18.77,18,106,As Expected,"(34.13323, -116.27654)"
2011-2012,San Bernardino,Hi-Desert Medical Center,106362041,30-day Mortality,18.5,18,111,Worse,"(34.13323, -116.27654)"
2011-2012,San Bernardino,Desert Valley Hospital,106364144,30-day Readmission,16.42,42,219,As Expected,"(34.47093, -117.29778)"
2011-2012,San Bernardino,Desert Valley Hospital,106364144,30-day Mortality,8.29,17,223,As Expected,"(34.47093, -117.29778)"
2011-2012,San Bernardino,Arrowhead Regional Medical Center,106364231,30-day Readmission,15.43,57,418,As Expected,"(34.07163215, -117.3527761)"
2011-2012,San Bernardino,Arrowhead Regional Medical Center,106364231,30-day Mortality,15.65,25,433,As Expected,"(34.07163215, -117.3527761)"
2011-2012,San Bernardino,Barstow Community Hospital,106364430,30-day Readmission,23.03,13,61,As Expected,"(34.8935263, -117.0168841)"
2011-2012,San Bernardino,Barstow Community Hospital,106364430,30-day Mortality,9.32,3,61,As Expected,"(34.8935263, -117.0168841)"
2011-2012,San Diego,Alvarado Hospital,106370652,30-day Readmission,9.85,18,177,As Expected,"(32.77708, -117.05683)"
2011-2012,San Diego,Alvarado Hospital,106370652,30-day Mortality,6.91,14,184,As Expected,"(32.77708, -117.05683)"
2011-2012,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,30-day Readmission,11.33,4,38,As Expected,"(32.69427, -117.16808)"
2011-2012,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,30-day Mortality,8.36,4,39,As Expected,"(32.69427, -117.16808)"
2011-2012,San Diego,Sharp Memorial Hospital,106370694,30-day Readmission,13.84,68,526,As Expected,"(32.80016, -117.15531)"
2011-2012,San Diego,Sharp Memorial Hospital,106370694,30-day Mortality,10.44,54,556,As Expected,"(32.80016, -117.15531)"
2011-2012,San Diego,Grossmont Hospital,106370714,30-day Readmission,17.52,138,798,Worse,"(32.77963, -117.00924)"
2011-2012,San Diego,Grossmont Hospital,106370714,30-day Mortality,11.66,105,865,As Expected,"(32.77963, -117.00924)"
2011-2012,San Diego,Kaiser Foundation Hospital – San Diego,106370730,30-day Readmission,13.88,67,507,As Expected,"(32.79287, -117.09447)"
2011-2012,San Diego,Kaiser Foundation Hospital – San Diego,106370730,30-day Mortality,10.77,50,531,As Expected,"(32.79287, -117.09447)"
2011-2012,San Diego,Scripps Mercy Hospital,106370744,30-day Readmission,15.16,113,734,As Expected,"(32.75128, -117.1609)"
2011-2012,San Diego,Scripps Mercy Hospital,106370744,30-day Mortality,11.01,80,786,As Expected,"(32.75128, -117.1609)"
2011-2012,San Diego,Palomar Heath Downtown Campus,106370755,30-day Readmission,13.9,67,532,As Expected,"(33.12622, -117.07585)"
2011-2012,San Diego,Palomar Heath Downtown Campus,106370755,30-day Mortality,12.9,89,574,As Expected,"(33.12622, -117.07585)"
2011-2012,San Diego,Paradise Valley Hospital,106370759,30-day Readmission,15.23,27,143,As Expected,"(32.6863293, -117.0830382)"
2011-2012,San Diego,Paradise Valley Hospital,106370759,30-day Mortality,9.23,9,145,As Expected,"(32.6863293, -117.0830382)"
2011-2012,San Diego,Scripps Memorial Hospital – La Jolla,106370771,30-day Readmission,11.02,37,348,As Expected,"(32.88506, -117.22279)"
2011-2012,San Diego,Scripps Memorial Hospital – La Jolla,106370771,30-day Mortality,9.11,49,383,As Expected,"(32.88506, -117.22279)"
2011-2012,San Diego,Tri-City Medical Center – Oceanside,106370780,30-day Mortality,14.36,92,571,Worse,"(33.18394, -117.29027)"
2011-2012,San Diego,Tri-City Medical Center – Oceanside,106370780,30-day Readmission,10.06,47,528,As Expected,"(33.18394, -117.29027)"
2011-2012,San Diego,UC San Diego Medical Center,106370782,30-day Readmission,16.78,55,341,As Expected,"(32.75387, -117.16498)"
2011-2012,San Diego,UC San Diego Medical Center,106370782,30-day Mortality,9.81,28,363,As Expected,"(32.75387, -117.16498)"
2011-2012,San Diego,Sharp Chula Vista Medical Center,106370875,30-day Readmission,12.74,45,339,As Expected,"(32.61909, -117.02488)"
2011-2012,San Diego,Sharp Chula Vista Medical Center,106370875,30-day Mortality,9.29,30,356,As Expected,"(32.61909, -117.02488)"
2011-2012,San Diego,Pomerado Hospital,106370977,30-day Mortality,13.73,41,239,As Expected,"(32.99563, -117.05784)"
2011-2012,San Diego,Pomerado Hospital,106370977,30-day Readmission,10.85,21,218,As Expected,"(32.99563, -117.05784)"
2011-2012,San Diego,Scripps Green Hospital,106371256,30-day Mortality,7.83,16,205,As Expected,"(32.89654, -117.2419)"
2011-2012,San Diego,Scripps Green Hospital,106371256,30-day Readmission,14.32,26,196,As Expected,"(32.89654, -117.2419)"
2011-2012,San Diego,Scripps Memorial Hospital – Encinitas,106371394,30-day Readmission,8.53,22,291,As Expected,"(33.0363, -117.28495)"
2011-2012,San Diego,Scripps Memorial Hospital – Encinitas,106371394,30-day Mortality,8.6,41,301,As Expected,"(33.0363, -117.28495)"
2011-2012,San Francisco,Kaiser Foundation Hospital – San Francisco,106380857,30-day Readmission,7.1,22,296,Better,"(37.78274, -122.44289)"
2011-2012,San Francisco,Kaiser Foundation Hospital – San Francisco,106380857,30-day Mortality,8.96,26,311,As Expected,"(37.78274, -122.44289)"
2011-2012,San Francisco,California Pacific Medical Center – Pacific Campus,106380929,30-day Mortality,7.68,33,375,As Expected,"(37.79149, -122.43102)"
2011-2012,San Francisco,California Pacific Medical Center – Pacific Campus,106380929,30-day Readmission,13.56,48,352,As Expected,"(37.79149, -122.43102)"
2011-2012,San Francisco,California Pacific Medical Center – Davies Campus,106380933,30-day Readmission,10.07,12,118,As Expected,"(37.7691, -122.43465)"
2011-2012,San Francisco,California Pacific Medical Center – Davies Campus,106380933,30-day Mortality,9.34,15,131,As Expected,"(37.7691, -122.43465)"
2011-2012,San Francisco,San Francisco General Hospital,106380939,30-day Readmission,13.01,40,332,As Expected,"(37.75657, -122.40637)"
2011-2012,San Francisco,San Francisco General Hospital,106380939,30-day Mortality,13.77,28,359,As Expected,"(37.75657, -122.40637)"
2011-2012,San Francisco,Saint Francis Memorial Hospital,106380960,30-day Readmission,13.53,24,163,As Expected,"(37.78917, -122.41695)"
2011-2012,San Francisco,Saint Francis Memorial Hospital,106380960,30-day Mortality,10.01,21,179,As Expected,"(37.78917, -122.41695)"
2011-2012,San Francisco,California Pacific Medical Center – St. Luke’s Campus,106380964,30-day Readmission,8.59,4,38,As Expected,"(37.74799, -122.42052)"
2011-2012,San Francisco,California Pacific Medical Center – St. Luke’s Campus,106380964,30-day Mortality,13.87,5,40,As Expected,"(37.74799, -122.42052)"
2011-2012,San Francisco,"Saint Mary’s Medical Center, San Francisco",106380965,30-day Readmission,11.11,15,139,As Expected,"(37.77408, -122.45441)"
2011-2012,San Francisco,"Saint Mary’s Medical Center, San Francisco",106380965,30-day Mortality,8.22,14,144,As Expected,"(37.77408, -122.45441)"
2011-2012,San Francisco,UC San Francisco Medical Center,106381154,30-day Readmission,11.7,38,332,As Expected,"(37.7635148, -122.4576564)"
2011-2012,San Francisco,UC San Francisco Medical Center,106381154,30-day Mortality,11.12,37,358,As Expected,"(37.7635148, -122.4576564)"
2011-2012,San Francisco,Chinese Hospital,106382715,30-day Readmission,10.62,10,95,As Expected,"(37.79565, -122.40926)"
2011-2012,San Francisco,Chinese Hospital,106382715,30-day Mortality,6.16,5,98,As Expected,"(37.79565, -122.40926)"
2011-2012,San Joaquin,Dameron Hospital,106390846,30-day Mortality,16.02,15,167,As Expected,"(37.9613, -121.30061)"
2011-2012,San Joaquin,Dameron Hospital,106390846,30-day Readmission,11.4,19,162,As Expected,"(37.9613, -121.30061)"
2011-2012,San Joaquin,Lodi Memorial Hospital,106390923,30-day Readmission,10.93,16,160,As Expected,"(38.12146, -121.2859)"
2011-2012,San Joaquin,Lodi Memorial Hospital,106390923,30-day Mortality,11.07,21,165,As Expected,"(38.12146, -121.2859)"
2011-2012,San Joaquin,San Joaquin General Hospital,106391010,30-day Readmission,12.47,15,131,As Expected,"(37.88594, -121.28918)"
2011-2012,San Joaquin,San Joaquin General Hospital,106391010,30-day Mortality,22.9,13,137,Worse,"(37.88594, -121.28918)"
2011-2012,San Joaquin,Saint Joseph’s Medical Center of Stockton,106391042,30-day Readmission,13.94,56,404,As Expected,"(37.97075, -121.2891)"
2011-2012,San Joaquin,Saint Joseph’s Medical Center of Stockton,106391042,30-day Mortality,11.78,51,435,As Expected,"(37.97075, -121.2891)"
2011-2012,San Joaquin,Sutter Tracy Community Hospital,106391056,30-day Readmission,14.78,16,97,As Expected,"(37.74366, -121.43482)"
2011-2012,San Joaquin,Sutter Tracy Community Hospital,106391056,30-day Mortality,12.09,14,103,As Expected,"(37.74366, -121.43482)"
2011-2012,San Joaquin,Doctors Hospital of Manteca,106392287,30-day Readmission,14.09,12,85,As Expected,"(37.80118, -121.19818)"
2011-2012,San Joaquin,Doctors Hospital of Manteca,106392287,30-day Mortality,11.18,10,89,As Expected,"(37.80118, -121.19818)"
2011-2012,San Joaquin,Kaiser Foundation Hospital – Manteca,106394009,30-day Readmission,6.57,9,123,As Expected,"(37.79751, -121.24612)"
2011-2012,San Joaquin,Kaiser Foundation Hospital – Manteca,106394009,30-day Mortality,13.11,17,128,As Expected,"(37.79751, -121.24612)"
2011-2012,San Luis Obispo,Arroyo Grande Community Hospital,106400466,30-day Readmission,9.39,8,98,As Expected,"(35.11369, -120.59147)"
2011-2012,San Luis Obispo,Arroyo Grande Community Hospital,106400466,30-day Mortality,9.64,9,102,As Expected,"(35.11369, -120.59147)"
2011-2012,San Luis Obispo,French Hospital Medical Center,106400480,30-day Readmission,5.42,5,101,As Expected,"(35.27801, -120.64977)"
2011-2012,San Luis Obispo,French Hospital Medical Center,106400480,30-day Mortality,11.68,14,105,As Expected,"(35.27801, -120.64977)"
2011-2012,San Luis Obispo,Sierra Vista Regional Medical Center,106400524,30-day Readmission,13.51,16,147,As Expected,"(35.29105, -120.66576)"
2011-2012,San Luis Obispo,Sierra Vista Regional Medical Center,106400524,30-day Mortality,10.94,18,153,As Expected,"(35.29105, -120.66576)"
2011-2012,San Luis Obispo,Twin Cities Community Hospital,106400548,30-day Readmission,9.53,12,150,As Expected,"(35.5543, -120.71967)"
2011-2012,San Luis Obispo,Twin Cities Community Hospital,106400548,30-day Mortality,14.46,26,160,As Expected,"(35.5543, -120.71967)"
2011-2012,San Mateo,San Mateo Medical Center,106410782,30-day Readmission,9.61,4,46,As Expected,"(37.53017, -122.29951)"
2011-2012,San Mateo,San Mateo Medical Center,106410782,30-day Mortality,12.71,3,47,As Expected,"(37.53017, -122.29951)"
2011-2012,San Mateo,Kaiser Foundation Hospital – Redwood City,106410804,30-day Readmission,8.88,23,254,As Expected,"(37.48948, -122.2232)"
2011-2012,San Mateo,Kaiser Foundation Hospital – Redwood City,106410804,30-day Mortality,8.9,32,280,As Expected,"(37.48948, -122.2232)"
2011-2012,San Mateo,Kaiser Foundation Hospital – South San Francisco,106410806,30-day Readmission,14,31,206,As Expected,"(37.65806, -122.43837)"
2011-2012,San Mateo,Kaiser Foundation Hospital – South San Francisco,106410806,30-day Mortality,9.5,19,217,As Expected,"(37.65806, -122.43837)"
2011-2012,San Mateo,Seton Medical Center,106410817,30-day Readmission,9.34,30,290,As Expected,"(37.68172, -122.47283)"
2011-2012,San Mateo,Seton Medical Center,106410817,30-day Mortality,12.76,45,311,As Expected,"(37.68172, -122.47283)"
2011-2012,San Mateo,Peninsula Medical Center,106410852,30-day Readmission,11.06,38,347,As Expected,"(37.5944692, -122.3832465)"
2011-2012,San Mateo,Peninsula Medical Center,106410852,30-day Mortality,9.98,50,371,As Expected,"(37.5944692, -122.3832465)"
2011-2012,San Mateo,Sequoia Hospital,106410891,30-day Mortality,13.14,23,132,As Expected,"(37.48129, -122.25377)"
2011-2012,San Mateo,Sequoia Hospital,106410891,30-day Readmission,8.13,9,118,As Expected,"(37.48129, -122.25377)"
2011-2012,Santa Barbara,Lompoc Valley Medical Center,106420491,30-day Readmission,6.61,4,72,As Expected,"(34.639252, -120.4396497)"
2011-2012,Santa Barbara,Lompoc Valley Medical Center,106420491,30-day Mortality,13.75,12,80,As Expected,"(34.639252, -120.4396497)"
2011-2012,Santa Barbara,Marian Region Medical Center,106420493,30-day Readmission,8.88,21,234,As Expected,"(34.95198, -120.41338)"
2011-2012,Santa Barbara,Marian Region Medical Center,106420493,30-day Mortality,13.56,36,250,As Expected,"(34.95198, -120.41338)"
2011-2012,Santa Barbara,Santa Barbara Cottage Hospital,106420514,30-day Readmission,8.78,36,482,Better,"(34.42943, -119.72318)"
2011-2012,Santa Barbara,Santa Barbara Cottage Hospital,106420514,30-day Mortality,11.66,64,514,As Expected,"(34.42943, -119.72318)"
2011-2012,Santa Clara,Regional Medical of San Jose,106430705,30-day Readmission,13.96,58,377,As Expected,"(37.36332, -121.84837)"
2011-2012,Santa Clara,Regional Medical of San Jose,106430705,30-day Mortality,9.76,38,396,As Expected,"(37.36332, -121.84837)"
2011-2012,Santa Clara,El Camino Hospital,106430763,30-day Readmission,10.8,39,373,As Expected,"(37.36779, -122.07801)"
2011-2012,Santa Clara,El Camino Hospital,106430763,30-day Mortality,7.68,37,394,As Expected,"(37.36779, -122.07801)"
2011-2012,Santa Clara,Good Samaritan Hospital – San Jose,106430779,30-day Readmission,9.23,36,430,As Expected,"(37.25116, -121.9449)"
2011-2012,Santa Clara,Good Samaritan Hospital – San Jose,106430779,30-day Mortality,10.24,55,463,As Expected,"(37.25116, -121.9449)"
2011-2012,Santa Clara,O’Connor Hospital – San Jose,106430837,30-day Readmission,14.19,29,215,As Expected,"(37.32714, -121.93727)"
2011-2012,Santa Clara,O’Connor Hospital – San Jose,106430837,30-day Mortality,11.81,30,226,As Expected,"(37.32714, -121.93727)"
2011-2012,Santa Clara,Santa Clara Valley Medical Center,106430883,30-day Readmission,13.5,42,358,As Expected,"(37.31346, -121.93202)"
2011-2012,Santa Clara,Santa Clara Valley Medical Center,106430883,30-day Mortality,12.33,19,371,As Expected,"(37.31346, -121.93202)"
2011-2012,Santa Clara,Stanford Hospital,106430905,30-day Readmission,10.76,35,366,As Expected,"(37.43342, -122.17827)"
2011-2012,Santa Clara,Stanford Hospital,106430905,30-day Mortality,10.65,46,387,As Expected,"(37.43342, -122.17827)"
2011-2012,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,30-day Readmission,12.48,44,335,As Expected,"(37.23924, -121.80269)"
2011-2012,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,30-day Mortality,8.99,27,345,As Expected,"(37.23924, -121.80269)"
2011-2012,Santa Clara,Saint Louise Regional Hospital,106434138,30-day Readmission,5.78,6,96,As Expected,"(37.03731, -121.57411)"
2011-2012,Santa Clara,Saint Louise Regional Hospital,106434138,30-day Mortality,11.4,16,102,As Expected,"(37.03731, -121.57411)"
2011-2012,Santa Clara,Kaiser Foundation Hospital – Santa Clara,106434153,30-day Readmission,15.57,62,396,As Expected,"(37.334597, -121.995774)"
2011-2012,Santa Clara,Kaiser Foundation Hospital – Santa Clara,106434153,30-day Mortality,8.85,36,415,As Expected,"(37.334597, -121.995774)"
2011-2012,Santa Cruz,Dominican Hospital – Santa Cruz/Soquel,106440755,30-day Readmission,7.04,18,284,Better,"(36.98806, -121.98489)"
2011-2012,Santa Cruz,Dominican Hospital – Santa Cruz/Soquel,106440755,30-day Mortality,9.04,32,301,As Expected,"(36.98806, -121.98489)"
2011-2012,Santa Cruz,Watsonville Community Hospital,106444013,30-day Readmission,12.6,12,97,As Expected,"(36.92839, -121.79173)"
2011-2012,Santa Cruz,Watsonville Community Hospital,106444013,30-day Mortality,9.83,10,103,As Expected,"(36.92839, -121.79173)"
2011-2012,Shasta,Shasta Regional Medical Center,106450940,30-day Readmission,14.84,32,248,As Expected,"(40.5855423, -122.3862952)"
2011-2012,Shasta,Shasta Regional Medical Center,106450940,30-day Mortality,12.63,27,263,As Expected,"(40.5855423, -122.3862952)"
2011-2012,Shasta,Mercy Medical Center – Redding,106450949,30-day Readmission,11.02,38,376,As Expected,"(40.57204, -122.39742)"
2011-2012,Shasta,Mercy Medical Center – Redding,106450949,30-day Mortality,14.3,72,415,Worse,"(40.57204, -122.39742)"
2011-2012,Siskiyou,Fairchild Medical Center,106474007,30-day Readmission,3.17,1,37,As Expected,"(41.71865, -122.64353)"
2011-2012,Siskiyou,Fairchild Medical Center,106474007,30-day Mortality,17.63,6,39,As Expected,"(41.71865, -122.64353)"
2011-2012,Solano,Kaiser Foundation Hospital – Rehabilitation Center Vallejo,106480989,30-day Mortality,7.93,29,310,As Expected,"(38.12839, -122.24761)"
2011-2012,Solano,Kaiser Foundation Hospital – Rehabilitation Center Vallejo,106480989,30-day Readmission,7.21,25,302,Better,"(38.12839, -122.24761)"
2011-2012,Solano,Sutter Solano Medical Center,106481094,30-day Readmission,8.41,12,129,As Expected,"(38.13117, -122.23912)"
2011-2012,Solano,Sutter Solano Medical Center,106481094,30-day Mortality,9.36,13,133,As Expected,"(38.13117, -122.23912)"
2011-2012,Solano,North Bay Medical Center,106481357,30-day Readmission,11.43,16,140,As Expected,"(38.26097, -122.05076)"
2011-2012,Solano,North Bay Medical Center,106481357,30-day Mortality,9.93,12,147,As Expected,"(38.26097, -122.05076)"
2011-2012,Solano,North Bay VacaValley Hospital,106484001,30-day Readmission,,,,,"(38.35509, -121.95293)"
2011-2012,Solano,North Bay VacaValley Hospital,106484001,30-day Mortality,6.96,2,30,As Expected,"(38.35509, -121.95293)"
2011-2012,Solano,Kaiser Foundation Hospital – Vacaville,106484044,30-day Readmission,9.15,17,187,As Expected,"(38.3894968, -121.9373177)"
2011-2012,Solano,Kaiser Foundation Hospital – Vacaville,106484044,30-day Mortality,7.21,12,191,As Expected,"(38.3894968, -121.9373177)"
2011-2012,Sonoma,Sutter Medical Center of Santa Rosa,106490919,30-day Readmission,13.87,9,73,As Expected,"(38.46855, -122.70739)"
2011-2012,Sonoma,Sutter Medical Center of Santa Rosa,106490919,30-day Mortality,11.25,8,77,As Expected,"(38.46855, -122.70739)"
2011-2012,Sonoma,Healdsburg District Hospital,106490964,30-day Readmission,11.1,5,51,As Expected,"(38.62764, -122.86385)"
2011-2012,Sonoma,Healdsburg District Hospital,106490964,30-day Mortality,17.02,12,54,As Expected,"(38.62764, -122.86385)"
2011-2012,Sonoma,Petaluma Valley Hospital,106491001,30-day Readmission,5.73,4,76,As Expected,"(38.25323, -122.63302)"
2011-2012,Sonoma,Petaluma Valley Hospital,106491001,30-day Mortality,11.15,12,83,As Expected,"(38.25323, -122.63302)"
2011-2012,Sonoma,Santa Rosa Memorial Hospital – Montgomery,106491064,30-day Readmission,10.26,25,255,As Expected,"(38.44304, -122.70114)"
2011-2012,Sonoma,Santa Rosa Memorial Hospital – Montgomery,106491064,30-day Mortality,14.63,43,279,As Expected,"(38.44304, -122.70114)"
2011-2012,Sonoma,Sonoma Valley Hospital,106491076,30-day Readmission,1.93,1,54,Better,"(38.28841, -122.46524)"
2011-2012,Sonoma,Sonoma Valley Hospital,106491076,30-day Mortality,7.67,8,56,As Expected,"(38.28841, -122.46524)"
2011-2012,Sonoma,Palm Drive Hospital,106491338,30-day Readmission,11.93,5,43,As Expected,"(38.39836, -122.82111)"
2011-2012,Sonoma,Palm Drive Hospital,106491338,30-day Mortality,5.33,3,44,As Expected,"(38.39836, -122.82111)"
2011-2012,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,30-day Readmission,5.18,14,270,Better,"(38.47087, -122.73119)"
2011-2012,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,30-day Mortality,11.2,41,283,As Expected,"(38.47087, -122.73119)"
2011-2012,Stanislaus,Doctors Medical Center,106500852,30-day Readmission,7.69,33,437,Better,"(37.66439, -120.99631)"
2011-2012,Stanislaus,Doctors Medical Center,106500852,30-day Mortality,10.97,45,459,As Expected,"(37.66439, -120.99631)"
2011-2012,Stanislaus,"Emanuel Medical Center, Inc.",106500867,30-day Readmission,10.95,15,157,As Expected,"(37.51052, -120.83966)"
2011-2012,Stanislaus,"Emanuel Medical Center, Inc.",106500867,30-day Mortality,14.66,19,162,As Expected,"(37.51052, -120.83966)"
2011-2012,Stanislaus,Memorial Hospital Medical Center – Modesto,106500939,30-day Readmission,12.26,48,397,As Expected,"(37.66727, -120.97546)"
2011-2012,Stanislaus,Memorial Hospital Medical Center – Modesto,106500939,30-day Mortality,11.43,49,417,As Expected,"(37.66727, -120.97546)"
2011-2012,Stanislaus,Oak Valley District Hospital,106500967,30-day Readmission,9.87,3,39,As Expected,"(37.75782, -120.86031)"
2011-2012,Stanislaus,Oak Valley District Hospital,106500967,30-day Mortality,8.76,3,40,As Expected,"(37.75782, -120.86031)"
2011-2012,Tehama,Saint Elizabeth Community Hospital,106521041,30-day Readmission,10.34,7,79,As Expected,"(40.1495, -122.21887)"
2011-2012,Tehama,Saint Elizabeth Community Hospital,106521041,30-day Mortality,10.79,10,84,As Expected,"(40.1495, -122.21887)"
2011-2012,Tulare,Kaweah Delta Medical Center,106540734,30-day Readmission,13.23,57,454,As Expected,"(36.32753, -119.29345)"
2011-2012,Tulare,Kaweah Delta Medical Center,106540734,30-day Mortality,14.18,62,493,Worse,"(36.32753, -119.29345)"
2011-2012,Tulare,Sierra View District Hospital,106540798,30-day Readmission,12.48,27,220,As Expected,"(36.06948, -119.02727)"
2011-2012,Tulare,Sierra View District Hospital,106540798,30-day Mortality,14.55,35,237,As Expected,"(36.06948, -119.02727)"
2011-2012,Tulare,Tulare Regional Medical Center,106540816,30-day Readmission,22.37,20,100,Worse,"(36.22217, -119.33775)"
2011-2012,Tulare,Tulare Regional Medical Center,106540816,30-day Mortality,14.57,12,104,As Expected,"(36.22217, -119.33775)"
2011-2012,Tuolumne,Sonora Regional Medical Center – Greenley,106554011,30-day Readmission,8.78,12,136,As Expected,"(37.98811, -120.36965)"
2011-2012,Tuolumne,Sonora Regional Medical Center – Greenley,106554011,30-day Mortality,9.09,18,146,As Expected,"(37.98811, -120.36965)"
2011-2012,Ventura,Community Memorial Hospital – San Buenaventura,106560473,30-day Readmission,11.97,34,322,As Expected,"(34.274589, -119.258124)"
2011-2012,Ventura,Community Memorial Hospital – San Buenaventura,106560473,30-day Mortality,9.78,34,333,As Expected,"(34.274589, -119.258124)"
2011-2012,Ventura,Ventura County Medical Center,106560481,30-day Readmission,11.46,15,131,As Expected,"(34.27634, -119.2517)"
2011-2012,Ventura,Ventura County Medical Center,106560481,30-day Mortality,8.56,10,140,As Expected,"(34.27634, -119.2517)"
2011-2012,Ventura,Los Robles Hospital and Medical Center,106560492,30-day Readmission,13,33,280,As Expected,"(34.20539, -118.89297)"
2011-2012,Ventura,Los Robles Hospital and Medical Center,106560492,30-day Mortality,10.02,37,297,As Expected,"(34.20539, -118.89297)"
2011-2012,Ventura,Saint John’s Pleasant Valley Hospital,106560508,30-day Readmission,11.84,16,146,As Expected,"(34.24177, -119.018)"
2011-2012,Ventura,Saint John’s Pleasant Valley Hospital,106560508,30-day Mortality,13.17,25,151,As Expected,"(34.24177, -119.018)"
2011-2012,Ventura,Simi Valley Hospital and Healthcare Services – Sycamore,106560525,30-day Readmission,15.84,18,115,As Expected,"(34.28945, -118.74405)"
2011-2012,Ventura,Simi Valley Hospital and Healthcare Services – Sycamore,106560525,30-day Mortality,11.41,15,123,As Expected,"(34.28945, -118.74405)"
2011-2012,Ventura,Saint John’s Regional Medical Center,106560529,30-day Readmission,12.39,37,286,As Expected,"(34.21687, -119.15819)"
2011-2012,Ventura,Saint John’s Regional Medical Center,106560529,30-day Mortality,12.33,34,305,As Expected,"(34.21687, -119.15819)"
2011-2012,Yolo,Woodland Memorial Hospital,106571086,30-day Readmission,8.05,8,112,As Expected,"(38.66284, -121.7933)"
2011-2012,Yolo,Woodland Memorial Hospital,106571086,30-day Mortality,17.96,24,118,Worse,"(38.66284, -121.7933)"
2011-2012,Yolo,Sutter Davis Hospital,106574010,30-day Readmission,7.14,6,82,As Expected,"(38.56154, -121.77244)"
2011-2012,Yolo,Sutter Davis Hospital,106574010,30-day Mortality,12.08,12,87,As Expected,"(38.56154, -121.77244)"
2011-2012,Yuba,Rideout Memorial Hospital,106580996,30-day Readmission,11.66,37,315,As Expected,"(39.138222, -121.594363)"
2011-2012,Yuba,Rideout Memorial Hospital,106580996,30-day Mortality,11,36,331,As Expected,"(39.138222, -121.594363)"
2012-2013,AAAA,Statewide,,30-day Mortality,10.42,7340,70447,,
2012-2013,AAAA,Statewide,,30-day Readmission,12.4,8305,66961,,
2012-2013,Alameda,Alameda Hospital,106010735,30-day Readmission,17.96,22,117,As Expected,"(37.762953, -122.25362)"
2012-2013,Alameda,Alameda Hospital,106010735,30-day Mortality,10.03,13,123,As Expected,"(37.762953, -122.25362)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Readmission,9.02,26,296,As Expected,"(37.85633, -122.25784)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Mortality,6.3,15,300,As Expected,"(37.85633, -122.25784)"
2012-2013,Alameda,Alameda County Medical Center,106010846,30-day Readmission,8.21,14,183,As Expected,"(37.79917, -122.2312)"
2012-2013,Alameda,Alameda County Medical Center,106010846,30-day Mortality,12.94,9,188,As Expected,"(37.79917, -122.2312)"
2012-2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Readmission,10.78,64,504,As Expected,"(37.82425, -122.25792)"
2012-2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Mortality,8.16,49,529,As Expected,"(37.82425, -122.25792)"
2012-2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Mortality,10.69,59,419,As Expected,"(37.62593, -122.09338)"
2012-2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Readmission,9.4,43,397,As Expected,"(37.62593, -122.09338)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Readmission,11.73,59,441,As Expected,"(37.82106, -122.26257)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Mortality,9.53,41,462,As Expected,"(37.82106, -122.26257)"
2012-2013,Alameda,Saint Rose Hospital,106010967,30-day Readmission,21.1,22,107,Worse,"(37.63291, -122.08962)"
2012-2013,Alameda,Saint Rose Hospital,106010967,30-day Mortality,14,13,113,As Expected,"(37.63291, -122.08962)"
